galaxy,Hbeta,Hbeta note,[OIII]5007,[OIII]5007 note,[OI]6300,[OI]6300 note,[NII]6583,[NII]6583 note,log Halpha flux,log Halpha flux note,log Halpha lum,log Halpha lum note,Halpha width,Halpha width note,[NII]6583 FWHM,[NII]6583 FWHM note
NGC 1055,     ,  ,     , ,0.064, ,0.66, ,-14.36,  ,37.92,  ,7.06, ,79,
NGC 1058,0.14,b ,0.55, ,0.18, ,1.23, ,-14.59,  ,37.4,  ,2.53, ,96,
NGC 1068,0.19,  ,2.42, ,0.087, ,0.76, ,-10.84,L ,41.55,L ,212.06, ,931,
NGC 1073,0.22,b ,0.32, ,0.028,c,0.46, ,-14.55,  ,37.89,  ,4.29, ,83,
NGC 1156,0.34,  ,1.54, ,0.013, ,0.1, ,-12.73,  ,38.96,  ,1104.71, ,71,
NGC 1161,0.19,b ,0.27,b,0.14,u,1.75, ,-14.21,  ,38.7,  ,0.96, ,518,
NGC 1167,0.16,  ,0.89, ,0.31, ,2.01, ,-13.49,  ,40.21,  ,9.47, ,550,
NGC 1169,0.48,u ,0.81, ,0.32, ,2.82, ,-14.46,  ,38.67,  ,1.31, ,346,
NGC 1186,0.13,  ,0.07, ,0.019, ,0.53, ,-13.07,  ,40.11,  ,60.37, ,256,
NGC 1275,0.2,b ,2.96, ,1.37, ,1.36, ,-12.63,  ,41.14,  ,23.7, ,442,
NGC 1358,0.26,  ,2.99, ,0.26, ,2.01, ,-13.17,L ,40.36,L ,5.55, ,246,
NGC 1560,0.24,  ,0.66, ,0.006,u,0.07, ,-13.47,L ,37.56,L ,1118, ,67,
NGC 1569,0.16,  ,0.85, ,0.002,b,0.04, ,-13.01,  ,37.48,  ,20.18, ,87,
NGC 1667,0.24,  ,1.78, ,0.24, ,2.38, ,-13.11,L ,40.54,L ,10.38, ,365,
NGC 1961,0.17,  ,0.2, ,0.21, ,1.96, ,-13.72,L ,39.81,L ,10.98, ,371,
NGC 2146,0.09,  ,0.04, ,0.023, ,0.45, ,-12.79,  ,39.76,  ,60.44, ,139,
NGC 2268,0.22,  ,0.32, ,0.035, ,0.59, ,-13.39,  ,39.76,  ,17.67, ,177,
NGC 2273,0.18,  ,1.05, ,0.12, ,0.86, ,-12.58,  ,40.41,  ,40.07, ,210,
NGC 2276,0.14,  ,0.02, ,0.014, ,0.35, ,-13.34,  ,39.87,  ,67.51, ,118,
NGC 2336,0.22,  ,0.65, ,0.25,b,1.79, ,-14.75,  ,38.39,  ,0.82, ,266,
NGC 2339,0.08,  ,0.03, ,0.029, ,0.7, ,-13.07,  ,39.99,  ,52.35, ,302,
NGC 2342,0.14,  ,0.06, ,0.033, ,0.63, ,-12.83,  ,40.93,  ,63.37, ,302,
NGC 2403,0.13,c ,0.27,u,0.063,u,0.28, ,-14.85,L ,36.48,L ,2.15, ,135,
NGC 2500,0.14,c ,0.33,b,0.068,c,0.33, ,-15.06,  ,37.03,  ,3.83, ,93,
NGC 2537,0.34,  ,0.63, ,0.008, ,0.15, ,-13.07,  ,38.92,  ,98.61, ,80,
NGC 2541,0.95,  ,1.52,u,0.082, ,0.25, ,-14.87,  ,37.26,  ,11.17, ,117,u
NGC 2543,0.2,  ,0.07, ,0.025, ,0.45, ,-13.41,  ,39.7,  ,34.25, ,213,
NGC 2639,0.24,  ,0.83, ,0.47, ,4.25, ,-13.65,L ,39.68,L ,5.49, ,401,
NGC 2655,0.2,  ,0.78, ,1.038, ,2.91, ,-13.3,  ,39.55,  ,4.76, ,404,
NGC 2681,0.2,c ,0.35,b,0.19,b,2.36, ,-13.5,L ,38.83,L ,1.83, ,265,
NGC 2683,0.24,  ,0.71, ,0.33, ,1.49, ,-14.38,  ,37.21,  ,2.48, ,223,
NGC 2685,0.18,b ,0.56, ,0.13,b,0.93, ,-13.84,  ,38.66,  ,1.57, ,184,
NGC 2715,0.21,  ,0.2, ,0.066, ,0.45, ,-14.21,  ,38.49,  ,18.76, ,93,
NGC 2742,0.29,  ,0.28,b,0.04,b,0.35, ,-14.49,  ,38.28,  ,7.18, ,91,
NGC 2748,0.16,  ,0.04, ,0.02, ,0.35, ,-13.6,  ,39.23,  ,17.74, ,152,
NGC 2750,0.25,  ,0.04, ,0.011, ,0.43, ,-12.65,  ,40.6,  ,69.11, ,167,
NGC 2768,0.25,  ,0.4, ,0.29, ,1.46, ,-13.82,L ,39.01,L ,2.68, ,344,
NGC 2770,0.15,  ,0.05, ,0.02, ,0.38, ,-14.16,L ,38.86,L ,18.05, ,140,
NGC 2776,0.28,  ,0.18, ,0.015,c,0.47, ,-14.19,  ,39.06,  ,5.87, ,104,
NGC 2782,0.15,  ,0.16, ,0.051, ,0.43, ,-12.43,  ,40.79,  ,66.56, ,312,
NGC 2787,0.51,  ,0.72, ,0.55,b,1.61, ,-13.79,  ,38.52,  ,1.46, ,382,
NGC 2832,1.37,u ,1.37,u,0.62,u,2.91,b,-15.09,b ,38.91,b ,0.28,b,399,
NGC 2841,0.3,  ,0.56, ,0.17, ,1.83, ,-13.71,L ,38.53,L ,2.19, ,308,
NGC 2859,0.35,b ,0.94, ,0.092,c,1.85, ,-14.29,  ,38.59,  ,0.63, ,203,
NGC 2903,0.22,  ,0.02, ,0.008, ,0.34, ,-12.63,  ,39.04,  ,68.9, ,115,
NGC 2911,0.23,  ,0.36, ,0.31, ,1.82, ,-13.54,L ,39.79,L ,5.98, ,475,
NGC 2964,0.18,  ,0.05, ,0.017, ,0.49, ,-12.75,  ,40.01,  ,63.34, ,235,
NGC 2967,0.35,b ,0.51,u,0.091,u,0.31, ,-14.76,  ,38.3,  ,1.59, ,170,u
NGC 2976,0.25,  ,0.36, ,0.012, ,0.31, ,-13.7,  ,37.02,  ,90, ,71,
NGC 2977,0.21,  ,0.07, ,0.024,u,0.35, ,-13.95,L ,39.35,L ,8.48, ,178,
NGC 2985,0.47,  ,0.46, ,0.12,b,0.86, ,-13.75,L ,39.02,L ,2.56, ,263,
NGC 3003,0.21,  ,0.11, ,0.009, ,0.27, ,-12.99,L ,39.86,L ,151.03, ,87,
NGC 3027,0.49,  ,0.57, ,0.037,b,0.19, ,-14.72,  ,37.93,  ,8.59, ,140,u
NGC 3031,0.29,  ,1.2, ,1.25, ,2.22, ,-12.73,L ,37.64,L ,2.64, ,210,
NGC 3034,0.04,  ,0.02, ,0.009, ,0.56, ,-11.8,L ,39.71,L ,166.84, ,124,
NGC 3041,0.36,  ,0.19, ,0.07,u,0.44, ,-14.73,  ,38.06,  ,2.43, ,167,u
NGC 3043,0.27,  ,0.1, ,0.038, ,0.36, ,-14.18,  ,39.08,  ,15.44, ,86,
NGC 3073,0.33,s ,0.25, ,0.023,b,0.3, ,-14.03,  ,38.62,  ,6.4, ,80,
NGC 3077,0.27,  ,0.2, ,0.003, ,0.21, ,-12.87,L ,37.85,L ,169, ,64,
NGC 3079,0.04,b ,0.15,b,0.18, ,1.59, ,-13.93,  ,38.76,  ,11.66, ,900,
NGC 3147,0.19,  ,1.16, ,0.15, ,2.71, ,-13.83,  ,39.47,  ,2, ,427,
NGC 3162,0.29,  ,0.05, ,0.013, ,0.34, ,-13.43,L ,39.34,L ,21.27, ,131,
NGC 3166,0.15,b ,0.41, ,0.27, ,2.57, ,-13.66,  ,39.1,  ,2.39, ,344,
NGC 3169,0.2,b ,0.57, ,0.28, ,2.07, ,-13.65,  ,39.02,  ,2.19, ,348,
NGC 3184,0.23,  ,0.03, ,0.009, ,0.33, ,-13.12,  ,38.83,  ,77.49, ,126,
NGC 3185,0.2,  ,0.68, ,0.045, ,0.7, ,-13.13,  ,39.6,  ,19.93, ,232,
NGC 3190,0.38,  ,0.78, ,0.34, ,3.47, ,-13.96,  ,38.82,  ,1, ,494,
NGC 3193,0.67,  ,1.67, ,0.3,u,1.27, ,-14.61,  ,38.2,  ,0.29, ,319,
NGC 3198,0.16,  ,0.04, ,0.025, ,0.42, ,-13.78,  ,38.37,  ,29.79, ,122,
NGC 3226,0.45,  ,1.01, ,0.59, ,1.45, ,-13.88,  ,38.93,  ,3.39, ,465,
NGC 3227,0.34,b ,2.02, ,0.23, ,1.33, ,-12.33,L ,40.38,L ,16.29, ,471,
NGC 3245,0.21,  ,0.13, ,0.086,c,0.85, ,-13.18,  ,39.59,  ,4.24, ,584,
NGC 3254,0.16,  ,1.5, ,0.07,b,1.14, ,-14.4,  ,38.43,  ,1.61, ,155,
NGC 3294,0.24,  ,0.28, ,0.028,c,0.6, ,-14.05,  ,38.88,  ,7.89, ,140,
NGC 3301,0.36,b ,0.12,b,0.26, ,1.16, ,-13.59,L ,39.22,L ,2.44, ,412,
NGC 3310,0.21,  ,0.2, ,0.036, ,0.66, ,-12.77,L ,39.85,L ,40.26, ,143,
